name,ingredients,health-info,diet,image
Low Carb Almond Breads (Gluten-Free),"['200 g 7oz almond meal', '2 tablespoons psyllium or oat bran optional', '1 teaspoon baking powder', '1/4 teaspoon salt', '2 eggs or 3 egg whites', '100 g 3.5oz cream or melted butter']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/4f7/4f7f06dd6d99fed35440ff01912e523f.jpg
Pizza Roll-Up,"['1 low-carb whole wheat tortilla', '2 1/2 Tablespoons pizza sauce', '1/4 Cup low fat mozzarella cheese', '3 slices of pepperoni', '1/4 Cup fresh spinach']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/495/495851daac9ae51c18dd65e0ad573721.jpg
A Lot Like Lasagna,"['6 medium zucchini, ends trimmed', 'Kosher salt', '½ pound sweet Italian sausage, crumbled', '½ cup Rao’s brand marinara sauce or another low-carb marinara', '1 cup ricotta cheese', '1 large egg, well beaten', '1 cup cooked spinach, very well drained and squeezed dry', '¼ cup pesto', '2 tablespoons olive oil', '½ pound mozzarella cheese, grated', 'About a dozen fresh basil leaves (optional)']","['Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/572/572f68ff2d9347f0e76b58554d2d5670.jpg
Cloud bread,"['oil or butter for greasing', '4 eggs, separated', '50g cream cheese', '¼ tsp cream of tartar', '½ tsp nigella seeds']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/19a/19a10cc5f4969a6bb55a558c3d58e2b9.jpg
Low Carb Praline Pumpkin Pie,"['2 tablespoons hot melted butter', '1/2 cup finely chopped pecans', '1/2 cup sugar substitute (recommended: Splenda)', '1/8 teaspoon salt', '1/8 teaspoon ground cinnamon', '1 (15-ounce) can no sugar added pumpkin filling', '3/4 cup sugar substitute (recommended: Splenda)', '1 tablespoon plus a dash pumpkin pie spice', '1 1/4 cups heavy cream', '4 eggs', 'Low Carb Whipped Cream, recipe follows', '1 cup heavy cream', '1/3 cup sugar substitute (recommended: Splenda)', '1 teaspoon no sugar added vanilla extract']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/059/059fcf88bc69b8bd80bd89a855cdf1b1.jpeg
Low-Carb Zucchini Bread recipes,"['2½ blanched almond flour (not almond meal)', '1 teaspoon ground cinnamon', '½ teaspoon celtic sea salt', '½ teaspoon baking soda', '4 large eggs', '2 tablespoons maple syrup', '½ teaspoon vanilla stevia', '8 ounces zucchini, grated']","['Vegetarian', 'Peanut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/ff4/ff4338a86513568c6e648983d7d50e79
Low-Carb Broccoli & Cheddar Casserole,"['1 ½ pounds broccoli florets', '2 tablespoons extra-virgin olive oil', '1 large onion, diced', '2 cloves garlic, minced', '4 ounces reduced-fat cream cheese, softened', '½ cup sour cream', '1 ½ cups shredded extra-sharp Cheddar cheese, divided', '½ teaspoon salt', '½ teaspoon ground pepper']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/11a/11a7f7d85d0299cb0544f3fe0cb30555
Apple Sausage Penne,"['2 cups low-carb penne pasta', '1 pound Italian low-fat turkey sausage, diagonally cut into 1/4"" slices', '4 red Delicious apples, cubed', '1/2 cup half-and-half', '1/4 cup crumbled low-fat Gorgonzola or other blue cheese', '1/4 cup chopped fresh basil']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/dd9/dd95c3b0bd5e32298ac89e618020718a.jpg
Low-Carb Breakfast Burritos,"['2 large eggs', '1 tbsp. skim milk', '1 tbsp. freshly chopped chives', 'kosher salt', 'Freshly ground black pepper', '1 tbsp. butter', '4 slices cooked bacon', '1/2 c. black beans', '1 avocado, thinly sliced', '1/2 c. shredded Cheddar', 'Salsa, for serving']",[],['Low-Carb'],https://www.edamam.com/web-img/7a1/7a18f28150a8956b76248708831208ab.jpg
Low Carb Zucchini and Ricotta Cannelloni,"['4 medium zucchini', 'non-stick oil spray', 'salt and pepper to taste', '15 ounces fat free ricotta cheese', '1/4 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon dried basil', '1 egg', '4 tablespoons sharp white cheddar', '3 small baby bella mushrooms, chopped small', '1/2 small onion, chopped small', '1/4 green pepper, chopped small', '2 cups Mom’s Spaghetti Sauce']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/c31/c31bf07042bb18eb0a95ab828f71797a.jpg
Cauliflower Fried Rice,"['1 head cauliflower (1 1/4 pounds), cored, broken into pieces (about 5 1/2 cups)', '2 tablespoons plus 2 teaspoons safflower oil', '3 large eggs', 'Coarse salt and freshly ground pepper', '3 carrots, peeled and diced (1 cup)', '1 yellow onion, chopped (1 cup)', '3 cloves garlic, minced (1 tablespoon)', '1 tablespoon minced ginger (from a 1-inch piece)', '1 tablespoon sambal oelek', '1 cup frozen peas, thawed', '1/4 cup low-sodium soy sauce']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/645/645ceadcb581ed98a749420b2212403d.jpg
Turkey Club Wraps recipes,"['1/2 ripe avocado, seeded', '1 teaspoon fresh lemon juice', 'Dash of ground red pepper', '1 small garlic clove, minced', '2 (2-ounce) low-carb, low-fat sandwich wraps (such as California Lavash)', '4 ounces organic lower-sodium deli turkey', '4 (1/4-inch) slices tomato', '1/2 cup thinly vertically sliced red onion', '1 cup shredded romaine lettuce', '4 center-cut bacon slices, cooked']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/908/9089d29c7edae45f0d020c994dcdd4a3
Cheesy autumn mushrooms,"['4 large field mushrooms', '100g gorgonzola or other blue cheese , crumbled', '25g walnuts , toasted and roughly chopped', '4 thyme sprigs', 'knob butter , cut into small pieces', 'rocket leaves, to serve']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/706/7066fb3ed007a04748a4f0f46eec8f10.jpg
Dreamy Creamy Macaroni and Cheese,"['1 1/4 cups whole grain or low-carb elbow pasta', '2 teaspoons butter or trans-free margarine', '2 tablespoons all-purpose flour', '2 cups 2% milk', '1/2 teaspoon salt', 'teaspoon black pepper', 'dash of hot sauce (optional)', '1 1/2 cups shredded reduced-fat Cheddar cheese, divided', '1/4 cup whole wheat bread crumbs']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/26c/26c23b4306e378de351e53b749972638.jpg
Cindy Francis's Crustless Quiche,"['3 eggs', '16 oz. low-fat cottage cheese', '8 oz. shredded low-fat Cheddar cheese', '10 oz. package frozen spinach or chopped broccoli']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/c0e/c0e7973b297d7a776a8feb799724611e.jpg
Low Carb Double Chocolate Walnut Brownies,"['1 1/2 tablespoons wheat bran, or oat bran', '1 1/4 cups plus 1/2 tablespoon soy flour', '4 ounces unsweetened baking chocolate', '1/2 cup unsalted butter', '2 cups sugar substitute (recommended: Splenda)', '1/2 cup heavy cream', '5 large eggs', '1 tablespoon no sugar added vanilla extract', '2 teaspoons baking powder', '1/2 cup chopped walnuts', 'Low Carb Chocolate Frosting, recipe follows', '3 tablespoons unsalted butter, softened (not melted)', '5 tablespoons unsweetened cocoa powder', '1 cup sugar substitute (recommended: Splenda)', '1/3 cup heavy cream', '1 teaspoon no sugar added vanilla extract', 'Few drops hot water, as needed, to thin consistency']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/138/138fe9b4768fa7e09b8303aa53019308.jpeg
Low-Carb Portobello Mushroom Fajitas,"['2 large portabello mushroom caps, de-gilled and cut into strips', '1 bell pepper, seeded and cut into thin strips', '1 medium onion, sliced', '1/2 bunch cilantro, stems removed and chopped', '1 medium-sized tomato', '1/8 Cup water', '1/4 Cup olive oil', '2 Tablespoons lime juice', '2 cloves garlic', '1 jalapeño, seeded', '1 Tablespoon cumin', '2 Tablespoons chili powder', '1 Tablespoon paprika', '1 Teaspoon Himalayan salt', '1/4 Teaspoon cayenne', '1 Cup raw cashew, soaked in water for 4 hours and drained', '1/4 Cup macadamia nuts', '1 red bell pepper, seeded and chopped', '1 jalapeños, seeded and chopped', '2 cloves garlic', '1/2 Teaspoon Himalayan salt', 'Juice from 1 lemon', '1 Teaspoon paprika', '1 Tablespoon chili powder', 'Water, as needed for desired consistency']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/61c/61cffc0b206fb91cbbd4ade15bd79b4a.jpg
Low-Carb Breakfast Wraps,"['4 large eggs', '1/4 c. milk', '1 tbsp. butter', '6 breakfast sausages, cooked according to package instructions', '1 1/2 c. shredded cheddar, divided', '1 avocado, cut into thin slices', '1/2 c. grape tomatoes, quartered', 'kosher salt', 'Freshly ground black pepper', '1 tbsp. Chopped chives']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/af6/af6990002e0005b92cdda145b0514a07.jpg
Low-Carb Million Dollar Zoodle Spaghetti,"['1.5 pounds zucchini', '1.5 teaspoons kosher salt', '2 eggs', '2 tablespoons chopped fresh parsley', '1/4 cup grated parmesan cheese', '2 tablespoons butter', '1/2 cup whole milk ricotta', '4 ounces cream cheese, softened', '1/2 pound spicy italian sausage', '1.5 cups marinara sauce, homemade or store-bought', '3/4 cup shredded mozzarella cheese']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/7b8/7b8b30dad53e7bc4e3453680619c6a97.jpg
Low-carb Gluten-free Pigs in a Blanket Recipe,"['2 hot dog franks cut into quarters, or 4 cocktail dogs cut into halves', '1/2 Cup coconut flour', '1/4 Teaspoon baking powder', '4 eggs', '1/4 Cup coconut oil (organic), melted butter or ghee', '1 Teaspoon garlic powder, or 1 garlic clove, crushed', '1/4 Teaspoon salt', '1/2 Cup cheese (cheddar tastes best; grated or cut into small slices)']","['Sugar-Conscious', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/0a4/0a4a6f2d081107476963ac5d00234b9f.jpg
Roasted Cauliflower: Low Carb,"['1/2 medium cauliflower (about 1/2 pound), leaves removed', '2 tablespoons extra-virgin olive oil', 'Kosher salt and freshly ground black pepper']","['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/dd6/dd6261800e2287f7438eedaa003aa288.jpeg
Cheesy leeks & ham,"['8 small leek, white part only', '8 slices cooked ham', '100g cheddar, grated', '2 tbsp Dijon mustard', '6 tbsp crème fraîche (full or half-fat)']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/3f8/3f899bb063b2b5b58795bf239ac009a2.jpg
Corn Crisps,"['1 cup stone-ground cornmeal', '¾ cup boiling water', '4 large egg whites, beaten stiff', 'Salt and pepper', '1 teaspoon ground cumin', 'Butter for the pan']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/cec/cec086b4dc9d4f9382159716d4063dc7.jpg
Spicy Garlic Broccoli Rabe,"['1½ lb. broccoli rabe', '2 tbsp. extra-virgin olive oil', '3 clove garlic', '½ tsp. crushed hot red pepper flakes']","['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/e12/e12f384e846bb99e216d5f1011ea6a58.jpg
Low-Carb Breakfast Pizza,"['4 large eggs', '2 1/2 c. shredded mozzarella, divided', '1/4 grated Parmesan, plus more for garnish', 'kosher salt', 'Freshly ground black pepper', '1/4 tsp. dried oregano', 'pinch red pepper flakes (optional)', '2 tbsp. pizza sauce (or marinara)', '1/4 c. mini pepperoni', '1/2 Green Bell Pepper, chopped']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/fbd/fbdcbf3d16d123e4668c7cc0563f40f0.jpg
Pepperoni Pizza Portobello Mushrooms,"['4 large portobello mushrooms, stems and gills removed (see Tip)', '½ cup pizza sauce, preferably low-sodium', '½ teaspoon Italian seasoning', '⅓ cup chopped red bell pepper', '⅓ cup chopped red onion', '¾ cup shredded low-fat mozzarella cheese', '1 ounce sliced pepperoni, quartered']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/8c4/8c467007dfa24fb91cec595568841275
Low Carb Kedgeree made with cauliflower cous cous,"['150 grams raw cauliflower', '14 grams butter', '1 tablespoon toasted sesame oil', '1 teaspoon Garam masala or any curry powder you like', '2 spring onions / scallions', '20 grams flaked almonds', '10 grams seeds - hemp hearts are nice or nigella seeds. Optional but adds flavour.', '1 hard boiled egg.', '1 fillet of smoked haddock, a smoked mackerel fillet or small tin of mackerel in olive oil - add a little smoked paprika if you want to make it taste smokey.', '1 pinch salt', '1 sprig cilantro / coriander or parsley']","['Peanut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/a33/a332121eaa60a84c93174a5ee54e06b2.jpg
"High Fiber, Low-Carb Zucchini Bread, Another Ideal Breakfast Recipe","['- ½ cup grated carrots', '- ½ cup grated zucchini', '- ½ cup buckwheat flour', '- ¼ cup wheat bran', '- ¼ cup flax meal', '- ¼ cup raw honey', '- 2 eggs', '- 1 tsp baking powder', '- a pinch of salt', '- ¼ cup greek yogurt or almond milk', '- ¼ cup chopped walnuts', '- ½ tsp ground cinnamon', '- ¼ tsp ground nutmeg']",[],['Balanced'],https://www.edamam.com/web-img/ffa/ffa940f5042ea0201c3c2f01fac341dc.jpg
Low-Carb Breakfast Hash,"['6 slices bacon, cut into 1"" pieces', '1 onion, chopped', '1 red bell pepper, chopped', '1 large head of cauliflower, chopped', 'kosher salt', 'Freshly ground black pepper', '1/4 tsp. smoked paprika', '3 tbsp. water', '2 cloves garlic, minced', '2 tbsp. finely chopped chives', '4 eggs', '1 c. shredded Cheddar cheese']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/bc9/bc941f9667b5cf977e4c96a85a873c4b.jpg
Atkins Low Carb Cranberry-Ginger Pork Roast,"['4 pounds Pork Chops or Roasts (Center Rib, Bone-In)', '1 Chipotle Peppers in Adobo Sauce', '1 cup chopped Cranberries', '1/4 cup Sugar Free Maple Flavored Syrup', '2 teaspoons Ginger', '1/2 teaspoon Salt', '1/4 teaspoon Black Pepper', '1 cup Chicken Broth, Bouillon or Consomme', '1/2 cup Water', '1/4 teaspoon Guar Gum', '1 tablespoon Unsalted Butter Stick']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/ccb/ccbfa38493e09724929957034b3645bd.jpg
Low Carb Pizza,"['1 1/2 cups soy flour', '3 eggs', '3/4 cup heavy cream', '1/3 cup club soda', '1 teaspoon salt', '1 tablespoon olive oil', '1/8 cup diced red onion', '1 teaspoon chopped garlic', '3 large Roma tomatoes, diced', '8 ounces no sugar added tomato sauce', '1/4 teaspoon garlic powder', '1/2 teaspoon dried basil', '1/2 teaspoon dried oregano (may substitute Italian seasoning for dried herbs)', '1/8 teaspoon salt', '1/8 teaspoon freshly ground black pepper', '24 ounces shredded mozzarella cheese', '8 ounces pepperoni slices', '1/2 cup crumbled Italian sausage, cooked', '1/2 cup diced Parma ham', '1/3 cup julienned red bell peppers', '1/3 cup julienned green bell peppers', '1/3 cup julienned red onion', '2 portobello mushroom caps, sliced', '2 tablespoons extra-virgin olive oil', 'Pinch dried oregano']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/fa7/fa70d94254b85e658613fb2c0ce5eeb5.jpeg
"Low Carb ""Mock"" Raisinettes","['1/2 cup fresh blueberries', '1-ounce unsweetened chocolate', '1/2 cup sugar substitute (recommended: Splenda)', '1 tablespoon hot water', '1 tablespoon heavy cream, room temperature']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/104/104af0e5a0f6e17eddaf382b39ab586d.jpeg
Chicken Parmesan & Quinoa Stuffed Peppers,"['1 tablespoon olive oil', '1 medium onion, chopped (about 1 1/2 cups)', '4 cloves garlic, minced', '1 cup quinoa, rinsed', '1 ¼ cups water', '3 cups shredded cooked chicken breast', '1 ½ cups lower-sodium marinara sauce', '⅓ cup grated Parmesan cheese', '¾ cup sliced fresh basil, divided', '4 large red bell peppers (about 8 ounces each)', '2 ounces low-moisture, part-skim mozzarella cheese, shredded (about 1/2 cup)']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/6f9/6f9d54697b5243445cfeeda93aea6cf7
Mexican egg roll,"['1 large egg', 'a little rapeseed oil for frying', '2 tbsp tomato salsa', 'about 1 tbsp fresh coriander']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/693/6934debd72a9668d372e2d0fc778d507.jpg
Cheesy Chaffle Sandwiches with Avocado & Bacon,"['10 large eggs', '1 ¼ cups shredded sharp Cheddar cheese', '2 slices center-cut bacon, cooked and crumbled', '½ teaspoon ground pepper', '2 small avocados, sliced', '2 small tomatoes, sliced', '4 large leaves butterhead lettuce, torn into 3-inch pieces']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/fbb/fbbaa291e6f913c5563f54d6e2f3e920
Magic Low-Carb Waffles,"['6 large eggs', '2 bananas, mashed', '2 tbsp. unsweetened almond butter', '3 tbsp. whole-wheat, rice, or quinoa flour', 'Kosher salt', '1/2 tsp. ground cinnamon', 'Cooking spray', '1/2 tbsp. coconut butter', '1/2 tbsp. almond butter', '1/4 banana, sliced', '1/2 tbsp. chopped walnuts', '1 tbsp. maple syrup or coconut nectar']","['Vegetarian', 'Peanut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/d60/d606d5d167716e0285dd2fe63bb4ab98.jpg
SF/GF Orange &amp;amp; Clove Olive Oil Cake (Low-Carb/Keto Friendly),"['1 3/4 cups Almond Flour', '1 tablespoon Coconut Flour', '1 1/2 teaspoons Kosher Salt', '1/2 teaspoon Baking Powder', '1/2 teaspoon Baking Soda', '3/4 teaspoon Ground Cloves', '1 3/4 cups Monkfruit Sweetener', '1 1/3 cups Extra-virgin Olive Oil', '1 1/4 cups Whole Milk', '3 Large Eggs', '1 1/2 tablespoons Grated Orange Zest', '1/4 cup Fresh Orange Juice']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/024/0240f52b34e731365bdd809bfaaca86b.jpg
Broiled Tomatoes: Low Carb,"['3 large plum tomatoes (about 12 ounces), halved lengthwise', '3/4 teaspoon kosher salt', 'Freshly ground black pepper', '1 tablespoon extra-virgin olive oil', '3 tablespoons chopped fresh herbs, such as thyme, rosemary, oregano, or marjoram', '1 tablespoon freshly grated Parmesan']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/dd6/dd6261800e2287f7438eedaa003aa288.jpeg
Asian-Style Chicken Salad Bowls,"['1 (12 ounce) package seasoned cooked chicken strips', '1/2 cup sesame dressing', '1 (9 ounce) package shredded coleslaw mix', '½ cup sesame-honey-flavored almonds']","['Peanut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/526/526b0bdaa6a0782ecc3603a451b2c1d2
Low-Carb Big Macs,"['1/2 c. mayonnaise', '2 tbsp. yellow mustard', '1 tbsp. ketchup', '1 tbsp. pickle relish', '2 tsp. apple cider vinegar', '1/2 tsp. garlic powder', '1/2 tsp. onion powder', '1/4 tsp. paprika', '1/4 tsp. kosher salt', '1 lb. ground beef', 'Kosher salt', 'Freshly ground black pepper', '2 tbsp. butter', '4 slices American cheese', '12 butterhead lettuce leaves', 'Sliced tomatoes']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/1d3/1d3570bbd17b239652f1e733f669a5ea.jpg
Low Carb Neapolitan Parfaits,"['1 cup heavy cream', '1/3 cup sugar substitute, plus 2 tablespoons (recommended: Splenda)', '1 teaspoon no sugar added vanilla extract', '1/2 tablespoon unsweetened cocoa powder', '1 pint fresh strawberries, sliced (sprinkle with 1 tablespoon sugar substitute if not sweet)', 'Fresh mint, for garnish']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/0ae/0aee29c9fa667cec32e1f3bf27fea2fb.jpeg
